FeatureName,RelScore
sleep,-100.00
stayhome,-61.02
tea,-59.85
exercise,-53.55
oliveoil,-51.48
egg,-50.44
potato,-38.25
milk,-35.49
salad,-34.76
cheese,-31.40
smallveggiewraps,-29.34
rizo,-26.69
strawberry,-24.09
tilapia,-24.09
olives,-23.74
earthbalance,-23.34
musaka,-22.48
bacon,-22.06
grape,-20.20
artichokepie,-17.72
turmeric,-17.61
spinach,-17.61
fried,-17.61
pomegranate,-17.61
fajita,-17.38
tempura,-17.24
havarti,-16.34
fish,-15.94
watermelon,-15.37
halfnhalf,-13.89
parmesan,-13.88
atkinsbar,-13.32
greenbeans,-12.91
hotdog,-12.52
frenchtoast,-10.84
thinpretzel,-10.84
wine,-10.03
beans,-8.83
crab,-8.62
carrot,-7.36
chicken,-6.96
icecream,-6.26
whitenectarine,-5.26
sugaryogurt,-3.73
plum,-2.21
falafel,-1.77
frappuccino,-1.45
peas,0.38
quinoa,0.38
salmon,1.06
cherry,1.32
veggieburger,1.38
thaisoup,1.38
granola,1.43
soup,1.58
coleslaw,1.77
avocado,1.80
peanut,2.16
nectarine,3.07
nuggets,4.03
Constant,4.20
gyoza,4.68
cocoa,5.00
pizza,5.66
butter,7.48
coffeecandy,8.73
couscous,9.39
sushi,9.67
date,9.71
brownrice,9.95
shrimp,9.95
snapple,10.32
chocolate,11.02
peanuts,11.63
grilledonion,11.87
granolabar,11.88
dietsnapple,12.10
ham,12.11
sausage,12.11
eggpie,12.11
croissant,12.35
cookie,13.22
clementine,13.83
mottsfruitsnack,13.89
splenda,14.09
thinkthinbar,14.26
pistachio,14.52
indian,14.96
gefiltefish,15.47
cheeseburger,15.75
cornbread,16.07
peach,16.07
giro,16.47
meat,16.51
driedapple,17.38
coconutbar,18.32
bun,18.91
knish,19.10
rice,19.55
apple,19.68
coconut,20.48
trailmix,20.98
melon,21.03
sorbet,21.55
gummybears,22.43
schnitzel,22.47
pita,22.62
icecreamsandwich,22.67
friedrice,22.78
hummusroll,22.90
tomatosoup,22.90
mango,23.09
sugarlemonade,23.61
breadedshrimp,24.03
hummus,25.73
meatball,27.16
bbqsauce,28.07
beet,29.04
sweetjapanese,29.18
dietcoke,29.44
ketchup,31.42
corn,31.47
quesadilla,31.47
frenchfries,32.03
rogalach,32.72
nathans,32.72
pasta,32.78
danish,35.21
tofee,38.06
beef,40.03
kettlecorn,42.10
bagel,42.18
caramelizedwalnut,42.18
bread,44.68
breadedchicken,44.91
brownie,47.08
nosleep,69.25
